chain,symbol,borrow_rate,ltv,liquidation_threshold,is_frozen,borrowing_enabled,risk_level
ethereum,WETH,0.02302710116499176,0.805,0.83,False,True,LOW
ethereum,wstETH,0.002069412057555458,0.785,0.81,False,True,LOW
ethereum,WBTC,0.002088886806494901,0.73,0.78,False,True,LOW
ethereum,USDC,0.05430963077257401,0.75,0.78,False,True,MEDIUM
ethereum,DAI,0.06250584604363812,0.63,0.77,False,True,MEDIUM
ethereum,LINK,0.0038883456601496824,0.66,0.71,False,True,LOW
ethereum,AAVE,0.0,0.69,0.76,False,False,LOW
ethereum,cbETH,0.0008589975715338447,0.75,0.79,False,True,LOW
ethereum,USDT,0.05986926193748422,0.75,0.78,False,True,MEDIUM
ethereum,rETH,0.0007219244420636859,0.75,0.79,False,True,LOW
ethereum,LUSD,0.2934935632463481,0.0,0.77,False,True,CRITICAL
ethereum,CRV,0.07632570310269404,0.35,0.41,False,True,MEDIUM
ethereum,UNKNOWN,0.00013930436306924384,0.65,0.7,False,True,LOW
ethereum,SNX,0.12713638648016856,0.0,0.65,False,False,HIGH
ethereum,BAL,0.06719436271082838,0.57,0.59,False,True,MEDIUM
ethereum,UNI,0.026829175151316227,0.65,0.74,False,True,LOW
ethereum,LDO,0.02286670558341134,0.4,0.5,False,True,LOW
ethereum,ENS,0.010771148446772795,0.39,0.49,False,True,LOW
ethereum,1INCH,0.020487519117866768,0.57,0.67,False,True,LOW
ethereum,FRAX,0.04740426280575188,0.0,0.72,False,False,LOW
ethereum,GHO,0.06,0.0,0.0,False,True,MEDIUM
ethereum,RPL,0.06452170060072242,0.0,0.0,False,True,MEDIUM
ethereum,sDAI,0.0,0.75,0.78,False,False,LOW
ethereum,STG,0.0032793160202842426,0.0,0.37,True,True,LOW
ethereum,KNC,0.035802452591033665,0.0,0.37,True,True,LOW
ethereum,FXS,0.0023639412152310748,0.0,0.42,True,True,LOW
ethereum,crvUSD,0.04998794556812105,0.0,0.0,False,True,LOW
ethereum,PYUSD,0.06664529592337226,0.75,0.78,False,True,MEDIUM
ethereum,weETH,0.010169258241814192,0.775,0.8,False,True,LOW
